ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
241,CPRT.N0000,CEYLON PRINTERS PLC,29,2016-10-13,72,172,4,12389.0,73.0,72.0,-2.9,-3.871829105473965287049,01/JAN/1974,72.0,74.9,43212240,73.0
1041,CRL.N0000,SOFTLOGIC FINANCE PLC,100,2016-10-13,39.8,10167,9,406656.6,40.0,39.8,-1.3,-3.163017031630170316301,22/JAN/2009,39.8,41.1,2351025322.4,40.0
505,CSD.N0000,SEYLAN DEVELOPMENTS PLC,2500,2016-10-13,16.2,152959,68,2459079.8,16.3,15.8,0.3,1.8867924528301886792452,08/FEB/1995,16.2,15.9,2397030732,16.2
377,CSEC.N0000,DUNAMIS CAPITAL PLC,395,2016-10-13,26.4,3649,9,96573.6,28.0,26.0,-0.1,-0.377358490566037735849,21/APR/1986,26.4,26.5,3247122120,27.4
218,CSF.N0000,NATION LANKA FINANCE PLC,100,2016-10-13,1.9,30000,17,56000.0,1.9,1.8,0,0,13/JUN/1994,1.9,1.9,1431630587.7,1.9
1522,CTBL.N0000,CEYLON TEA BROKERS PLC,1000,2016-10-13,3.9,3200,3,12480.0,3.9,3.9,0,0,16/MAR/2010,3.9,3.9,444600000,3.9
381,CTC.N0000,CEYLON TOBACCO COMPANY PLC,2,2016-10-13,850,52955,29,4.50118071E7,855.0,850.0,-0.5,-0.058788947677836566725,01/JAN/1955,850.0,850.5,159225188350,850.0
327,CTEA.N0000,CEYLON TEA SERVICES PLC,1,2016-10-13,716,1,1,715.0,715.0,715.0,0,0,01/JAN/1982,716.0,716.0,14320000000,715.0
510,CTHR.N0000,C T HOLDINGS PLC,24,2016-10-13,124,35,4,4289.4,122.6,121.0,0,0,01/JAN/1928,124.0,124.0,22704059372,121.0
520,CTLD.N0000,C T LAND DEVELOPMENT PLC,1760,2016-10-13,54.5,2260,3,123220.0,54.6,54.5,-0.5,-0.909090909090909090909,22/MAR/1988,54.5,55.0,2656875000,54.6
335,CWM.N0000,C. W. MACKIE PLC,2,2016-10-13,53.1,1527,10,81004.2,53.2,53.0,-0.1,-0.187969924812030075187,09/JAN/1995,53.1,53.2,1910992323.6,53.2
239,DFCC.N0000,DFCC BANK PLC,40,2016-10-13,127.1,2965,21,376809.0,128.0,127.0,0,0,01/JAN/1956,127.1,127.1,33693916144.8,128.0
471,DIAL.N0000,DIALOG AXIATA PLC,200,2016-10-13,11.4,11710,16,133765.0,11.5,11.4,-0.1,-0.869565217391304347826,28/JUL/2005,11.4,11.5,92839073817,11.5
399,DIPD.N0000,DIPPED PRODUCTS PLC,100,2016-10-13,89.6,7100,5,639450.0,91.0,89.5,0.6,0.6741573033707865168539,01/JAN/1982,89.6,89.0,5363591475.2,91.0
267,DOCK.N0000,COLOMBO DOCKYARD PLC,23,2016-10-13,87,701,6,60987.0,87.0,87.0,0,0,01/JAN/1983,87.0,87.0,6251726388,87.0
123,DPL.N0000,DANKOTUWA PORCELAIN PLC,139,2016-10-13,7.7,3501,5,27007.8,7.8,7.7,-0.1,-1.282051282051282051282,21/FEB/1995,7.7,7.8,1251657484,7.7
403,EAST.N0000,EAST WEST PROPERTIES PLC,1,2016-10-13,14.5,1601,2,23215.0,15.0,14.5,-0.2,-1.360544217687074829931,01/JAN/1983,14.5,14.7,2004480000,14.5
